"SAMPLE_DATE","DB_BLOCKS_GETS_FROM_CACHE","CONSISTENT_GETS_FROM_CACHE","PHYSICAL_READS_CACHE","CACHE_HIT_RADIO"
"12-05-2020 19:26:43",2727917,149121424,7681834,0.949411
"12-05-2020 19:26:45",2727922,149507860,7681834,0.949539
"12-05-2020 19:26:47",2727927,149896368,7681834,0.949668
"12-05-2020 19:26:50",2727932,150284018,7681834,0.949795
"12-05-2020 19:26:52",2727938,150670498,7681834,0.949922
"12-05-2020 19:26:54",2727943,151046734,7681834,0.950044
"12-05-2020 19:26:56",2727948,151435266,7681834,0.95017
"12-05-2020 19:26:58",2727953,151820791,7681834,0.950295
"12-05-2020 19:27:00",2727958,152211123,7681834,0.95042
"12-05-2020 19:27:02",2727963,152587399,7681834,0.95054
"12-05-2020 19:27:05",2727968,152972447,7681834,0.950662
"12-05-2020 19:27:07",2727973,153361507,7681834,0.950785
"12-05-2020 19:27:09",2727978,153757077,7681834,0.95091
"12-05-2020 19:27:11",2727983,154117911,7681834,0.951023
"12-05-2020 19:27:13",2727988,154493695,7681834,0.95114
"12-05-2020 19:27:15",2727993,154883238,7681834,0.95126
"12-05-2020 19:27:17",2727998,155274917,7681834,0.951381
"12-05-2020 19:27:20",2728003,155672896,7681834,0.951503
"12-05-2020 19:27:22",2728008,156056390,7681834,0.95162
"12-05-2020 19:27:24",2728013,156436115,7681834,0.951736
"12-05-2020 19:27:26",2728018,156822582,7681834,0.951853
"12-05-2020 19:27:28",2728023,157218823,7681834,0.951972
"12-05-2020 19:27:30",2728028,157613189,7681834,0.95209
"12-05-2020 19:27:32",2728033,157997332,7681834,0.952205
"12-05-2020 19:27:35",2728038,158384249,7681834,0.952319
"12-05-2020 19:27:37",2728043,158768773,7681834,0.952433
